Abbrev	id	State	PopRank	Index	Grocery	Housing	Utilities	Transportation	Heath	Misc	WageRank	FemaleEarnings	MaleEarnings
AL	1	Alabama	14	92.4	93.8	78.5	103.8	94.0	86.7	99.7	47	31674	44567
AK	2	Alaska	47	131.4	120.5	144.9	162.5	116.3	146.1	119.3	43	42345	57068
AZ	4	Arizona	34	101.9	96.8	108.6	95.3	99.8	100.6	101.5	10	35974	43618
AR	5	Arkansas	9	91.6	89.7	83.1	95.7	92.5	87.2	98.1	34	30843	40153
CA	6	California	45	128.1	106.0	187.0	108.3	113.1	109.7	104.9	6	41956	50139
CO	8	Colorado	30	99.5	93.5	105.8	94.5	98.9	101.9	98.4	16	40402	50509
CT	9	Connecticut	48	132.6	115.2	166.2	120.7	119.3	118.8	123.8	24	47900	61097
DE	10	Delaware	38	107.2	111.6	99.8	116.2	105.0	101.5	110.1	13	41120	50689
DC	11	District of Columbia	50	140.1	108.2	249.3	104.1	105.8	98.8	96.9	1	60116	66754
FL	12	Florida	28	98.2	96.6	95.1	97.1	103.2	99.0	99.4	7	34202	40889
GA	13	Georgia	17	92.9	91.7	81.9	100.3	97.4	98.0	97.3	12	35479	43707
HI	15	Hawaii	51	156.9	157.6	209.7	192.8	128.6	113.8	121.1	8	38040	45748
ID	16	Idaho	3	89.8	83.2	78.0	93.8	101.3	99.3	94.7	42	31296	41664
IL	17	Illinois	22	95.6	89.4	91.0	97.6	104.6	99.5	97.3	22	40309	51262
IN	18	Indiana	7	90.6	86.4	81.3	91.1	99.0	97.3	95.1	46	33419	45620
IA	19	Iowa	12	92.1	87.2	88.2	91.6	97.8	95.4	94.6	29	35106	45305
KS	20	Kansas	11	92.0	87.3	84.7	94.7	94.0	94.3	97.7	37	34131	44765
KY	21	Kentucky	4	90.1	85.8	78.8	98.5	97.1	94.1	94.8	39	32157	42321
LA	22	Louisiana	19	95.0	94.1	92.4	92.7	97.1	96.3	97.1	50	31586	47249
ME	23	Maine	39	110.6	103.3	120.4	85.4	110.0	122.1	111.8	9	35057	42280
MD	24	Maryland	40	119.9	106.2	176.8	109.2	100.6	96.0	94.7	2	49000	57447
MA	25	Massachusetts	43	122.1	110.2	137.4	131.0	104.2	125.0	118.6	18	47651	60243
MI	26	Michigan	18	94.8	84.8	89.2	102.8	103.5	96.7	97.3	45	36772	49897
MN	27	Minnesota	35	101.9	107.2	97.2	95.8	101.4	104.1	105.2	17	40595	50885
MS	28	Mississippi	1	89.1	87.8	76.3	93.2	96.6	91.6	95.2	41	30287	40081
MO	29	Missouri	16	92.8	92.4	80.2	105.4	95.9	97.1	97.4	35	32868	42974
MT	30	Montana	29	98.4	96.7	99.6	92.1	93.8	106.9	100.6	36	31775	41656
NE	31	Nebraska	2	89.5	87.1	80.9	94.9	95.1	93.6	92.9	29	33218	42878
NV	32	Nevada	20	95.5	93.6	94.6	79.2	102.2	98.6	98.8	2	35941	42137
NH	33	New Hampshire	42	120.7	98.8	138.9	122.7	101.5	117.9	122.4	32	41774	54136
NJ	34	New Jersey	46	130.0	114.0	170.1	129.6	109.9	105.7	116.1	22	47878	60878
NM	35	New Mexico	13	92.3	89.3	87.5	88.5	100.2	97.5	94.8	15	33074	41211
NY	36	New York	49	136.4	108.7	204.3	113.2	111.7	104.1	115.3	5	43000	51274
NC	37	North Carolina	23	95.9	101.5	86.2	99.2	96.5	105.7	98.6	11	34421	41859
ND	38	North Dakota	32	99.9	96.0	102.3	83.5	101.2	111.1	102.5	44	33877	45888
OH	39	Ohio	15	92.5	91.6	82.8	96.8	100.0	94.1	96.0	33	35984	46789
OK	40	Oklahoma	6	90.4	88.5	81.7	91.6	95.2	96.0	94.9	37	31543	41415
OR	41	Oregon	37	106.8	96.8	116.4	96.7	114.9	113.4	102.2	20	37381	47402
PA	42	Pennsylvania	33	100.7	99.1	96.6	111.0	102.2	95.9	101.6	40	37414	49330
RI	44	Rhode Island	44	125.7	107.2	139.8	133.1	104.5	118.5	129.0	14	41074	50975
SC	45	South Carolina	21	95.6	100.1	82.6	105.8	95.0	98.9	100.7	28	32402	41740
SD	46	South Dakota	31	99.6	91.4	106.8	98.2	93.7	96.8	100.3	26	31792	40721
TN	47	Tennessee	5	90.2	88.2	80.2	89.4	93.4	89.7	97.8	29	32398	41828
TX	48	Texas	10	91.8	87.4	84.3	93.7	96.4	95.4	96.8	18	35453	44802
UT	49	Utah	8	91.1	89.5	83.2	84.2	97.2	92.5	97.5	48	34062	48540
VT	50	Vermont	41	120.5	111.2	145.1	128.5	110.1	107.7	108.4	4	38017	44776
VA	51	Virginia	24	96.2	92.5	93.4	101.8	92.9	98.3	99.2	20	41104	52125
WA	53	Washington	36	102.6	95.4	105.9	89.2	107.2	116.0	103.2	25	41062	52529
WV	54	West Virginia	27	97.2	91.9	95.4	97.9	104.6	97.7	97.5	49	30885	44159
WI	55	Wisconsin	25	96.5	91.3	89.4	102.2	100.4	111.0	98.9	27	36535	46898
WY	56	Wyoming	26	96.7	99.4	97.1	100.0	91.2	104.0	95.3	51	33152	51932
